Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
LPSN,Liveperson Inc,-1413,USD,24.36,22.4,0.38,"-2,769.48",34420.68,-8.75
ME,23andMe Holding Co - Ordinary Shares - Class A,-3767,USD,3.875,7.31949820202681,0.38,"12,975.42",14597.125,47.06
MSTR,Microstrategy Inc. - Ordinary Shares - Class A,-69,USD,436.06,432.16,7.28,-269.10,30088.14,-0.90
NNI,Nelnet Inc - Ordinary Shares - Class A,355,USD,84.89,82.25,-0.55,937.20,30135.95,3.21
NOTV,Inotiv Inc,-1184,USD,23.1073,23.88,0.59,914.88,27359.0432,3.24
NVNO,enVVeno Medical Corporation,-3400,USD,4.62,6.66,-0.22,"6,936.00",15708,30.63
NVTA,Invitae Corp,-1328,USD,7.895,15.81,0.32,"10,511.12",10484.56,50.06
NVVE,Nuvve Holding Corp,-4195,USD,6.78,7.88063647199046,0.74,"4,617.17",28442.1,13.97
ONEM,1life Healthcare Inc,-2500,USD,9.55,9.86,0.48,775.00,23875,3.14
ORIC,,-3694,USD,6.33,6.97,-0.02,"2,364.16",23383.02,9.18
OTRK,Ontrak Inc,-2959,USD,2.14,7.16,0.19,"14,854.18",6332.26,70.11
OTTR,Otter Tail Corporation,477,USD,62.1,62.37,-0.30,-128.79,29621.7,-0.43
PACB,Pacific Biosciences of California Inc,-2478,USD,10.41,10.89,0.15,"1,189.44",25795.98,4.41
PATI,Patriot Transportation Holding Inc,3553,USD,8.12,8.44,0.14,"-1,136.96",28850.36,-3.79
PBF,PBF Energy Inc - Ordinary Shares - Class A,1377,USD,20.99,24.07,1.26,"-4,241.16",28903.23,-12.80
PLSE,Pulse Biosciences Inc,-4283,USD,5.42,9.20313565257997,0.63,"16,203.17",23213.86,41.11
PLXP,PLx Pharma Inc.,-4831,USD,3.95,5.6,0.02,"7,971.15",19082.45,29.46
PRCH,Porch Group Inc - Ordinary Shares - Class A,-2823,USD,7.44,8.93,-0.47,"4,206.27",21003.12,16.69
PRPL,Purple Innovation Inc - Ordinary Shares - Class A,-3992,USD,7.44,7.53,-0.05,359.28,29700.48,1.20
PSB,"PS Business Parks, Inc.",152,USD,159.425,158.48,0.11,143.64,24232.6,0.60
QUAD,Quad/Graphics Inc - Ordinary Shares - Class A,4370,USD,5.93,6.6,-0.06,"-2,927.90",25914.1,-10.15
RDFN,Redfin Corp,-1325,USD,19.87,19.56,1.28,-410.75,26327.75,-1.58
RFP,Resolute Forest Products Inc,1900,USD,14.07,12.76,0.26,"2,489.00",26733,10.27
RMBL,RumbleON Inc - Ordinary Shares - Class B,-1000,USD,35,27.29,1.10,"-7,710.00",35000,-28.25
SANA,Sana Biotechnology Inc,-3558,USD,6.66,7.23,0.28,"2,028.06",23696.28,7.88
SBH,Sally Beauty Holdings Inc,1433,USD,17.42,18.01,-0.24,-845.47,24962.86,-3.28
SBTX,Silverback Therapeutics Inc,-3436,USD,3.85,6.74,0.03,"9,930.04",13228.6,42.88
SIG,Signet Jewelers Ltd,263,USD,81.61,87.15,3.89,"-1,457.02",21463.43,-6.36
SKIL,Skillsoft Corp. - Ordinary Shares - Class A,-4559,USD,6.64,6,0.21,"-2,917.76",30271.76,-10.67
SM,SM Energy Co,170,USD,38.06,39.44,2.19,-234.60,6470.2,-3.50
SRRK,Scholar Rock Holding Corp,-711,USD,11.88,26.6,-0.01,"10,465.92",8446.68,55.34
SSSS,SuRo Capital Corp,2430,USD,9.2368,11.7,0.25,"-5,985.58",22445.424,-21.05
STTK,Shattuck Labs Inc,-1707,USD,4.92,12.24,0.19,"12,495.24",8398.44,59.80
TLRY,Tilray Brands Inc - Ordinary Shares - Class 2,-3599,USD,5.325,6.23,-0.01,"3,257.10",19164.675,14.53
TPIC,TPI Composites Inc,-1800,USD,15.0965,14.17,1.06,"-1,667.70",27173.7,-6.54
TRN,"Trinity Industries, Inc.",900,USD,33.105,30.25,0.37,"2,569.50",29794.5,9.44
TROX,Tronox Holdings plc - Ordinary Shares - Class A,1412,USD,20.59,18.35,-0.04,"3,162.88",29073.08,12.21
TSQ,Townsquare Media Inc - Ordinary Shares - Class A,2400,USD,12.31,11.8,0.00,"1,224.00",29544,4.32
TSRI,"TSR, Inc.",3020,USD,9.27,9.37,-0.06,-302.00,27995.4,-1.07
TWOU,2U Inc,-2813,USD,11.78,10.6,0.10,"-3,319.34",33137.14,-11.13
UPWK,Upwork Inc,-1133,USD,21.085,21.42,0.23,379.56,23889.305,1.56
VINC,Vincerx Pharma Inc,-3927,USD,4.265,6.28,0.01,"7,912.91",16748.655,32.09
VRM,Vroom Inc.,-1052,USD,2.5916,19.88,-0.10,"18,187.40",2726.3632,86.96
VRS,Verso Corp - Ordinary Shares - Class A,1075,USD,26.93,26.63,0.04,322.50,28949.75,1.13
WINA,Winmark Corporation,116,USD,234.21,216.14,3.62,"2,096.12",27168.36,8.36
