GBTG,594.5
GBX,506.0
GCBC,412.0
GCO,412.0
GDS,647.0
GECC,233.5
GEG,136.0
GENI,479.5
GES,496.0
GFL,801.0
GHM,136.0
GIGM,136.0
GIII,496.0
GIL,732.0
GILT,412.0
GIS,922.0
GLAD,412.0
GLBE,694.0
GLOB,778.0
GLOP,412.0
GME,958.0
GMS,597.0
GO,655.5
GOGL,584.5
GOLD,922.0
GOOS,584.5
GORO,233.5
GOTU,303.0
GP,136.0
GPS,716.0
GRAB,819.0
GRIN,412.0
GROW,233.5
GSIT,183.0
GSK,922.0
GSM,513.5
GTES,666.0
GTH,80.5
GWII,233.5
GWRE,738.0
HAE,688.0
HAIN,584.5
HBI,636.0
HBM,539.0
HCCI,412.0
HCDI,12.0
HCKT,412.0
HELE,619.5
HEPS,283.5
HEXO,136.0
HFBL,233.5
HIBB,412.0
HIHO,233.5
HIMX,533.5
HIVE,52.0
HLI,761.0
HLIO,572.0
HLNE,688.0
HMC,873.0
HNI,524.0
HOFT,233.5
HOLI,513.5
HQY,733.0
HRB,761.0
HTBI,412.0
HTHT,826.0
HUIZ,80.5
HUYA,350.5
HWKN,292.0
IAG,327.5
IBEX,412.0
IBIO,29.0
ICL,805.0
ICLK,16.0
ICMB,233.5
IDBA,136.0
IDN,136.0
IDT,412.0
IFS,643.0
IGC,136.0
IGIC,412.0
IGT,722.0
IH,233.5
IHT,233.5
IIIN,412.0
ILMN,952.0
IMBI,183.0
IMVT,567.0
INBS,136.0
INCR,288.0
INM,63.5
INNV,485.0
INTU,952.0
INVA,485.0
INVZ,327.5
IPA,233.5
IPW,60.0
IQ,635.0
IRBT,544.0
IRIX,136.0
IROQ,233.5
ISR,136.0
ITI,233.5
ITRN,412.0
IVAC,136.0
IX,880.0
JBL,790.5
JBSS,485.0
JCTCF,68.0
JD,866.0
JFIN,4.0
JG,233.5
JHX,784.0
JKHY,822.5
JMIA,327.5
JNJ,922.0
JOAN,288.0
JRSH,233.5
JT,136.0
JWN,666.0
K,884.0
KAI,601.5
KALV,80.5
KARO,412.0
KBAL,412.0
KC,327.5
KE,412.0
KELYA,412.0
