ticker
ELA
PLXS
RMCF
AMRC
ESBK
DSS
DLHC
CLDX
HVT
TMP
XOMA
DJCO
ASTE
SKYW
FRPH
REFR
AMWD
KSPN
PRG
VIVO
CLFD
PDEX
LAKE
PTSI
CYAN
BKTI
BKSC
HTLD
OSUR
CAL
DXYN
UIS
ITIC
AXGN
FLIC
PMD
AVD
PLAB
CRMT
OFG
CATO
FBNC
ICCC
WSBC
AIRT
THMO
WASH
CHCO
EBIX
CECE
CPSH
HBNC
EPAC
SNFCA
CPF
HRTX
NAII
GDOT
IMKTA
DGICB
JOUT
ALCO
MITK
CYBE
CTBI
QUAD
XSPA
GORO
ELMD
CSBR
FRBK
HIFS
LWAY
LNN
MGPI
CDMO
AMRS
GGE
BIMI
VRA
PCYG
RFP
INFU
ACNB
HFBL
LEDS
ASMB
OFED
IBIO
NPTN
ACRX
FLDM
GEVO
XTNT
FF
MX
SREV
ECOL
THR
AMPE
LODE
VATE
AMCX
SXC
CHEF
IROQ
FMNB
LCNB
GNE
MN
CLVS
GRPN
LPI
FBIO
RLGT
BOTJ
VSTM
PRLB
SLCA
BCOV
CCXI
OEG
HMST
NUWE
RM
NL
GALT
MACK
HEAR
FET
MRC
CLIR
FRGI
TLYS
SUPN
CRDF
IDEX
ALEX
CEMI
NGVC
CHUY
FSBW
HTBI
BLMN
PFMT
SFBC
HY
NBHC
LFVN
PBYI
RLGY
ICPT
RGLS
ATOS
CHMG
UIHC
PBF
TPH
ACST
AMS
AMSWA
HROW
INBK
ORMP
MRIN
MODN
ENTA
IPDN
NSPR
TXMD
CMRX
HMTV
MICT
ECOM
AMBC
CUBI
EPZM
NRC
TSC
BLUE
ESPR
GOGO
NDLS
NSTG
SAMG
AIRI
ONVO
AGIO
LIND
HTBX
ONTX
VISL
PGEN
GLG
MBII
TNXP
NNVC
PED
REI
AAOI
BNFT
EVOK
NVEE
ISEE
PPSI
TCFC
CPS
MMI
RMAX
AERI
COMM
MGNX
PBPB
SRNE
VCYT
TCS
KODK
VNCE
FRBA
IPWR
KPTI
NMIH
LIQT
RIBT
XNCR
CARA
GLYC
MBUU
NVFY
TVTX
TRVN
SINT
BIOC
CNCE
EGRX
GNCA
INGN
RVNC
PHIO
KN
GCI
ATEN
ATNM
QUOT
XXII
APOG
AGTC
AKBA
AMRK
NLTX
BPTH
BLBD
LE
LPCN
PFIE
SCTL
PULM
TWOU
ARAV
WATT
MGNI
AGFS
HNNA
PAHC
PFIS
FGF
SPWH
INPX
HRTG
DNOW
SDPI
AGRX
ALDX
BWFG
FMBH
QRHC
SCYX
TRUE
RYAM
TMST
AMPH
AMTX
ARDX
CBAY
GPRO
RDUS
ASPN
CCS
VRTV
TREC
PARR
TSQ
ADVM
CDNA
IRMD
ISTR
LOCO
MRNS
TR
MTBC
NERV
OCUL
SAGE
VIA
XENT
ICD
RYI
CLRB
LTRPA
OTIC
TTOO
VEC
BCLI
CFRX
GWGH
MBCN
LGMK
AVNS
KE
CBFV
BGSF
ENVA
ATRA
CALA
PLAY
SIEN
VBTX
AINC
ADMA
APDN
SLNO
CHRS
EYES
FFWM
FGEN
AROW
JYNT
UPLD
LC
BLCM
CTSO
PATI
VSTO
AVGR
FNWB
TCON
VUZI
ZSAN
ARTW
VNRX
BLPH
HEPA
ATEX
ENSV
SUNW
PZG
CDTX
CRBP
NVIV
VKTX
XBIT
PRTY
FTAI
COLL
HTGM
LIFE
ONCS
OPGN
RKDA
STKS
BW
HZN
ENR
SPNE
APPF
ATXS
CETX
MCRB
PIRS
EVH
ATRO
BNED
AEMD
AQMS
CFMS
CYRX
SRRA
EPIX
KPRX
MCFT
ALOT
PVBC
RILY
VTVT
XELB
AAME
OOMA
UFAB
CNFR
GBT
POAI
ZYNE
PJT
CSWI
RGNX
STAF
EXTN
ABTX
ACRS
AVXL
CTMX
AC
AXSM
AVTX
DLTH
EQBK
FGBI
KURA
RMR
VYGR
LMFA
SMBK
AZZ
EKSO
UVV
ESTE
BSET
BELFA
AP
AIKI
SCX
EQX
BRC
BRID
VVI
CSPI
CALM
CRS
CAMP
GCO
FOE
ISR
CPK
EAT
CIA
CDE
PBI
HSC
PEGY
CTG
CMTL
BH
ANIX
MAYS
CULP
NC
CTS
DAIO
CVR
COHU
DYNT
EML
EDUC
ESP
ELSE
ENZ
ESCA
KINS
BOOM
LGL
FARM
NPK
CLBS
NR
NTIP
OXM
PKE
TRMK
FFBC
SRCE
FLXS
SCL
FONR
FORD
FSTR
WEYS
AXR
SMP
B
GTN
DBD
AMOT
HWKN
HCSG
IIN
WMK
WWW
BRN
HNI
MOGB
HURC
SYNL
SXI
PFIN
TILE
CVM
VHI
IDCC
IVC
WSO
SFE
GFF
JOB
RAD
PNRG
KAMN
KELYA
EBF
KEQU
KTCC
FSS
KBAL
HNRG
SGC
KOSS
LZB
LAWS
SIF
